,City,Date,Temperature
0,"Asheville, NC",2020-01-01,3.8
1,"Asheville, NC",2020-01-02,3.8
2,"Asheville, NC",2020-01-03,10.8
3,"Asheville, NC",2020-01-04,8.2
4,"Asheville, NC",2020-01-05,1.9
5,"Asheville, NC",2020-01-06,4.7
6,"Asheville, NC",2020-01-07,5.1
7,"Asheville, NC",2020-01-08,4.5
8,"Asheville, NC",2020-01-09,4.1
9,"Asheville, NC",2020-01-10,10.4
10,"Asheville, NC",2020-01-11,15.6
11,"Asheville, NC",2020-01-12,12.4
12,"Asheville, NC",2020-01-13,10.3
13,"Asheville, NC",2020-01-14,13.0
14,"Asheville, NC",2020-01-15,12.9
15,"Asheville, NC",2020-01-16,9.6
16,"Asheville, NC",2020-01-17,3.8
17,"Asheville, NC",2020-01-18,3.9
18,"Asheville, NC",2020-01-19,2.6
19,"Asheville, NC",2020-01-20,-5.0
20,"Asheville, NC",2020-01-21,-4.7
21,"Asheville, NC",2020-01-22,-2.4
22,"Asheville, NC",2020-01-23,2.4
23,"Asheville, NC",2020-01-24,4.4
24,"Asheville, NC",2020-01-25,2.0
25,"Asheville, NC",2020-01-26,2.3
26,"Asheville, NC",2020-01-27,3.1
27,"Asheville, NC",2020-01-28,4.6
28,"Asheville, NC",2020-01-29,3.1
29,"Asheville, NC",2020-01-30,5.4
30,"Asheville, NC",2020-01-31,2.5
31,"Asheville, NC",2020-02-01,3.9
32,"Asheville, NC",2020-02-02,7.1
33,"Asheville, NC",2020-02-03,9.9
34,"Asheville, NC",2020-02-04,12.3
35,"Asheville, NC",2020-02-05,13.2
36,"Asheville, NC",2020-02-06,13.7
37,"Asheville, NC",2020-02-07,3.7
38,"Asheville, NC",2020-02-08,-1.7
39,"Asheville, NC",2020-02-09,1.7
40,"Asheville, NC",2020-02-10,7.6
41,"Asheville, NC",2020-02-11,14.0
42,"Asheville, NC",2020-02-12,9.4
43,"Asheville, NC",2020-02-13,11.3
44,"Asheville, NC",2020-02-14,1.3
45,"Asheville, NC",2020-02-15,0.4
46,"Asheville, NC",2020-02-16,2.2
47,"Asheville, NC",2020-02-17,5.8
48,"Asheville, NC",2020-02-18,10.4
49,"Asheville, NC",2020-02-19,7.6
50,"Asheville, NC",2020-02-20,2.5
51,"Asheville, NC",2020-02-21,-0.3
52,"Asheville, NC",2020-02-22,1.9
53,"Asheville, NC",2020-02-23,4.4
54,"Asheville, NC",2020-02-24,6.6
55,"Asheville, NC",2020-02-25,10.3
56,"Asheville, NC",2020-02-26,7.6
57,"Asheville, NC",2020-02-27,1.0
58,"Asheville, NC",2020-02-28,1.0
59,"Asheville, NC",2020-02-29,1.5
60,"Asheville, NC",2020-03-01,4.4
61,"Asheville, NC",2020-03-02,8.8
62,"Asheville, NC",2020-03-03,10.3
63,"Asheville, NC",2020-03-04,9.8
64,"Asheville, NC",2020-03-05,7.4
65,"Asheville, NC",2020-03-06,3.3
66,"Asheville, NC",2020-03-07,3.4
67,"Asheville, NC",2020-03-08,4.7
68,"Asheville, NC",2020-03-09,7.6
69,"Asheville, NC",2020-03-10,13.2
70,"Asheville, NC",2020-03-11,13.5
71,"Asheville, NC",2020-03-12,12.2
72,"Asheville, NC",2020-03-13,15.6
73,"Asheville, NC",2020-03-14,12.9
74,"Asheville, NC",2020-03-15,12.8
75,"Asheville, NC",2020-03-16,7.6
76,"Asheville, NC",2020-03-17,11.9
77,"Asheville, NC",2020-03-18,11.3
78,"Asheville, NC",2020-03-19,17.1
79,"Asheville, NC",2020-03-20,18.7
80,"Asheville, NC",2020-03-21,14.0
81,"Asheville, NC",2020-03-22,7.9
82,"Asheville, NC",2020-03-23,9.4
83,"Asheville, NC",2020-03-24,10.9
84,"Asheville, NC",2020-03-25,12.5
85,"Asheville, NC",2020-03-26,12.2
86,"Asheville, NC",2020-03-27,17.7
87,"Asheville, NC",2020-03-28,19.6
88,"Asheville, NC",2020-03-29,18.9
89,"Asheville, NC",2020-03-30,15.7
90,"Asheville, NC",2020-03-31,9.5
91,"Asheville, NC",2020-04-01,6.3
92,"Asheville, NC",2020-04-02,9.1
93,"Asheville, NC",2020-04-03,11.6
94,"Asheville, NC",2020-04-04,13.4
95,"Asheville, NC",2020-04-05,14.1
96,"Asheville, NC",2020-04-06,15.6
97,"Asheville, NC",2020-04-07,16.3
98,"Asheville, NC",2020-04-08,18.2
99,"Asheville, NC",2020-04-09,17.1
100,"Asheville, NC",2020-04-10,8.1
101,"Asheville, NC",2020-04-11,9.3
102,"Asheville, NC",2020-04-12,11.1
103,"Asheville, NC",2020-04-13,16.6
104,"Asheville, NC",2020-04-14,11.4
105,"Asheville, NC",2020-04-15,6.9
106,"Asheville, NC",2020-04-16,7.6
107,"Asheville, NC",2020-04-17,10.6
108,"Asheville, NC",2020-04-18,11.5
109,"Asheville, NC",2020-04-19,9.1
110,"Asheville, NC",2020-04-20,11.9
111,"Asheville, NC",2020-04-21,12.4
112,"Asheville, NC",2020-04-22,13.4
113,"Asheville, NC",2020-04-23,12.1
114,"Asheville, NC",2020-04-24,15.3
115,"Asheville, NC",2020-04-25,11.8
116,"Asheville, NC",2020-04-26,12.1
117,"Asheville, NC",2020-04-27,11.7
118,"Asheville, NC",2020-04-28,12.6
119,"Asheville, NC",2020-04-29,15.4
120,"Asheville, NC",2020-04-30,10.6
121,"Asheville, NC",2020-05-01,12.8
122,"Asheville, NC",2020-05-02,15.0
123,"Asheville, NC",2020-05-03,19.2
124,"Asheville, NC",2020-05-04,20.3
125,"Asheville, NC",2020-05-05,16.7
126,"Asheville, NC",2020-05-06,10.7
127,"Asheville, NC",2020-05-07,9.8
128,"Asheville, NC",2020-05-08,7.9
129,"Asheville, NC",2020-05-09,7.4
130,"Asheville, NC",2020-05-10,9.3
131,"Asheville, NC",2020-05-11,10.2
132,"Asheville, NC",2020-05-12,9.1
133,"Asheville, NC",2020-05-13,12.6
134,"Asheville, NC",2020-05-14,16.6
135,"Asheville, NC",2020-05-15,19.0
136,"Asheville, NC",2020-05-16,18.6
137,"Asheville, NC",2020-05-17,19.0
138,"Asheville, NC",2020-05-18,17.4
139,"Asheville, NC",2020-05-19,14.9
140,"Asheville, NC",2020-05-20,9.8
141,"Asheville, NC",2020-05-21,14.1
142,"Asheville, NC",2020-05-22,16.2
143,"Asheville, NC",2020-05-23,19.6
144,"Asheville, NC",2020-05-24,19.9
145,"Asheville, NC",2020-05-25,19.8
146,"Asheville, NC",2020-05-26,19.2
147,"Asheville, NC",2020-05-27,18.3
148,"Asheville, NC",2020-05-28,20.2
149,"Asheville, NC",2020-05-29,19.9
150,"Asheville, NC",2020-05-30,20.5
151,"Asheville, NC",2020-05-31,19.3
152,"Asheville, NC",2020-06-01,17.1
153,"Asheville, NC",2020-06-02,20.0
154,"Asheville, NC",2020-06-03,22.6
155,"Asheville, NC",2020-06-04,21.7
156,"Asheville, NC",2020-06-05,21.6
157,"Asheville, NC",2020-06-06,22.8
158,"Asheville, NC",2020-06-07,23.3
159,"Asheville, NC",2020-06-08,23.0
160,"Asheville, NC",2020-06-09,24.3
161,"Asheville, NC",2020-06-10,22.1
162,"Asheville, NC",2020-06-11,21.5
163,"Asheville, NC",2020-06-12,20.9
164,"Asheville, NC",2020-06-13,19.2
165,"Asheville, NC",2020-06-14,16.3
166,"Asheville, NC",2020-06-15,15.9
167,"Asheville, NC",2020-06-16,14.0
168,"Asheville, NC",2020-06-17,16.5
169,"Asheville, NC",2020-06-18,17.8
170,"Asheville, NC",2020-06-19,18.8
171,"Asheville, NC",2020-06-20,20.4
172,"Asheville, NC",2020-06-21,21.4
173,"Asheville, NC",2020-06-22,21.0
174,"Asheville, NC",2020-06-23,20.6
175,"Asheville, NC",2020-06-24,20.5
176,"Asheville, NC",2020-06-25,21.8
177,"Asheville, NC",2020-06-26,20.6
178,"Asheville, NC",2020-06-27,20.9
179,"Asheville, NC",2020-06-28,22.0
180,"Asheville, NC",2020-06-29,22.9
181,"Asheville, NC",2020-06-30,22.7
182,"Asheville, NC",2020-07-01,22.8
183,"Asheville, NC",2020-07-02,23.6
184,"Asheville, NC",2020-07-03,22.9
185,"Asheville, NC",2020-07-04,23.1
186,"Asheville, NC",2020-07-05,24.0
187,"Asheville, NC",2020-07-06,22.5
188,"Asheville, NC",2020-07-07,21.7
189,"Asheville, NC",2020-07-08,22.6
190,"Asheville, NC",2020-07-09,22.1
191,"Asheville, NC",2020-07-10,22.0
192,"Asheville, NC",2020-07-11,22.5
193,"Asheville, NC",2020-07-12,21.8
194,"Asheville, NC",2020-07-13,23.1
195,"Asheville, NC",2020-07-14,23.7
196,"Asheville, NC",2020-07-15,24.4
197,"Asheville, NC",2020-07-16,25.3
198,"Asheville, NC",2020-07-17,24.7
199,"Asheville, NC",2020-07-18,24.1
200,"Asheville, NC",2020-07-19,23.9
201,"Asheville, NC",2020-07-20,23.6
202,"Asheville, NC",2020-07-21,22.9
203,"Asheville, NC",2020-07-22,22.7
204,"Asheville, NC",2020-07-23,21.9
205,"Asheville, NC",2020-07-24,20.5
206,"Asheville, NC",2020-07-25,21.7
207,"Asheville, NC",2020-07-26,23.2
208,"Asheville, NC",2020-07-27,22.7
209,"Asheville, NC",2020-07-28,22.4
210,"Asheville, NC",2020-07-29,23.7
211,"Asheville, NC",2020-07-30,23.8
212,"Asheville, NC",2020-07-31,24.0
213,"Asheville, NC",2020-08-01,23.9
214,"Asheville, NC",2020-08-02,22.9
215,"Asheville, NC",2020-08-03,19.7
216,"Asheville, NC",2020-08-04,20.4
217,"Asheville, NC",2020-08-05,20.1
218,"Asheville, NC",2020-08-06,21.7
219,"Asheville, NC",2020-08-07,21.7
220,"Asheville, NC",2020-08-08,22.0
221,"Asheville, NC",2020-08-09,22.2
222,"Asheville, NC",2020-08-10,21.9
223,"Asheville, NC",2020-08-11,22.9
224,"Asheville, NC",2020-08-12,23.4
225,"Asheville, NC",2020-08-13,22.9
226,"Asheville, NC",2020-08-14,22.3
227,"Asheville, NC",2020-08-15,21.7
228,"Asheville, NC",2020-08-16,22.1
229,"Asheville, NC",2020-08-17,21.4
230,"Asheville, NC",2020-08-18,20.5
231,"Asheville, NC",2020-08-19,20.2
232,"Asheville, NC",2020-08-20,20.4
233,"Asheville, NC",2020-08-21,19.9
234,"Asheville, NC",2020-08-22,21.1
235,"Asheville, NC",2020-08-23,21.4
236,"Asheville, NC",2020-08-24,21.5
237,"Asheville, NC",2020-08-25,21.7
238,"Asheville, NC",2020-08-26,22.9
239,"Asheville, NC",2020-08-27,22.8
240,"Asheville, NC",2020-08-28,23.7
241,"Asheville, NC",2020-08-29,23.3
242,"Asheville, NC",2020-08-30,23.2
243,"Asheville, NC",2020-08-31,21.8
244,"Asheville, NC",2020-09-01,23.6
245,"Asheville, NC",2020-09-02,24.4
246,"Asheville, NC",2020-09-03,23.7
247,"Asheville, NC",2020-09-04,23.7
248,"Asheville, NC",2020-09-05,20.6
249,"Asheville, NC",2020-09-06,17.7
250,"Asheville, NC",2020-09-07,18.3
251,"Asheville, NC",2020-09-08,18.8
252,"Asheville, NC",2020-09-09,20.6
253,"Asheville, NC",2020-09-10,22.9
254,"Asheville, NC",2020-09-11,22.9
255,"Asheville, NC",2020-09-12,21.7
256,"Asheville, NC",2020-09-13,21.5
257,"Asheville, NC",2020-09-14,21.2
258,"Asheville, NC",2020-09-15,18.6
259,"Asheville, NC",2020-09-16,17.6
260,"Asheville, NC",2020-09-17,18.0
261,"Asheville, NC",2020-09-18,18.5
262,"Asheville, NC",2020-09-19,14.9
263,"Asheville, NC",2020-09-20,12.5
264,"Asheville, NC",2020-09-21,11.9
265,"Asheville, NC",2020-09-22,12.1
266,"Asheville, NC",2020-09-23,15.1
267,"Asheville, NC",2020-09-24,14.9
268,"Asheville, NC",2020-09-25,15.4
269,"Asheville, NC",2020-09-26,18.2
270,"Asheville, NC",2020-09-27,18.4
271,"Asheville, NC",2020-09-28,20.1
272,"Asheville, NC",2020-09-29,13.4
273,"Asheville, NC",2020-09-30,12.5
274,"Asheville, NC",2020-10-01,13.9
275,"Asheville, NC",2020-10-02,11.0
276,"Asheville, NC",2020-10-03,9.8
277,"Asheville, NC",2020-10-04,10.9
278,"Asheville, NC",2020-10-05,13.0
279,"Asheville, NC",2020-10-06,14.2
280,"Asheville, NC",2020-10-07,15.5
281,"Asheville, NC",2020-10-08,17.1
282,"Asheville, NC",2020-10-09,16.1
283,"Asheville, NC",2020-10-10,16.4
284,"Asheville, NC",2020-10-11,18.0
285,"Asheville, NC",2020-10-12,19.2
286,"Asheville, NC",2020-10-13,16.5
287,"Asheville, NC",2020-10-14,13.3
288,"Asheville, NC",2020-10-15,14.3
289,"Asheville, NC",2020-10-16,11.6
290,"Asheville, NC",2020-10-17,8.2
291,"Asheville, NC",2020-10-18,8.4
292,"Asheville, NC",2020-10-19,11.9
293,"Asheville, NC",2020-10-20,13.8
294,"Asheville, NC",2020-10-21,16.3
295,"Asheville, NC",2020-10-22,16.5
296,"Asheville, NC",2020-10-23,16.6
297,"Asheville, NC",2020-10-24,16.4
298,"Asheville, NC",2020-10-25,16.7
299,"Asheville, NC",2020-10-26,16.2
300,"Asheville, NC",2020-10-27,16.8
301,"Asheville, NC",2020-10-28,17.2
302,"Asheville, NC",2020-10-29,21.5
303,"Asheville, NC",2020-10-30,10.4
304,"Asheville, NC",2020-10-31,7.1
305,"Asheville, NC",2020-11-01,11.2
306,"Asheville, NC",2020-11-02,3.5
307,"Asheville, NC",2020-11-03,5.7
308,"Asheville, NC",2020-11-04,7.7
309,"Asheville, NC",2020-11-05,8.1
310,"Asheville, NC",2020-11-06,10.4
311,"Asheville, NC",2020-11-07,11.8
312,"Asheville, NC",2020-11-08,14.6
313,"Asheville, NC",2020-11-09,16.8
314,"Asheville, NC",2020-11-10,17.2
315,"Asheville, NC",2020-11-11,19.5
316,"Asheville, NC",2020-11-12,17.7
317,"Asheville, NC",2020-11-13,14.2
318,"Asheville, NC",2020-11-14,9.8
319,"Asheville, NC",2020-11-15,13.5
320,"Asheville, NC",2020-11-16,7.2
321,"Asheville, NC",2020-11-17,4.7
322,"Asheville, NC",2020-11-18,3.9
323,"Asheville, NC",2020-11-19,4.4
324,"Asheville, NC",2020-11-20,6.6
325,"Asheville, NC",2020-11-21,8.5
326,"Asheville, NC",2020-11-22,9.5
327,"Asheville, NC",2020-11-23,6.9
328,"Asheville, NC",2020-11-24,3.6
329,"Asheville, NC",2020-11-25,9.2
330,"Asheville, NC",2020-11-26,12.5
331,"Asheville, NC",2020-11-27,8.2
332,"Asheville, NC",2020-11-28,10.0
333,"Asheville, NC",2020-11-29,6.0
334,"Asheville, NC",2020-11-30,5.7
335,"Asheville, NC",2020-12-01,-1.0
336,"Asheville, NC",2020-12-02,0.1
337,"Asheville, NC",2020-12-03,2.3
338,"Asheville, NC",2020-12-04,7.9
339,"Asheville, NC",2020-12-05,4.3
340,"Asheville, NC",2020-12-06,3.1
341,"Asheville, NC",2020-12-07,3.0
342,"Asheville, NC",2020-12-08,-1.0
343,"Asheville, NC",2020-12-09,2.8
344,"Asheville, NC",2020-12-10,7.1
345,"Asheville, NC",2020-12-11,6.8
346,"Asheville, NC",2020-12-12,10.5
347,"Asheville, NC",2020-12-13,11.7
348,"Asheville, NC",2020-12-14,6.1
349,"Asheville, NC",2020-12-15,1.8
350,"Asheville, NC",2020-12-16,1.9
351,"Asheville, NC",2020-12-17,2.1
352,"Asheville, NC",2020-12-18,-0.5
353,"Asheville, NC",2020-12-19,0.4
354,"Asheville, NC",2020-12-20,5.7
355,"Asheville, NC",2020-12-21,5.7
356,"Asheville, NC",2020-12-22,6.6
357,"Asheville, NC",2020-12-23,3.8
358,"Asheville, NC",2020-12-24,6.8
359,"Asheville, NC",2020-12-25,-7.5
360,"Asheville, NC",2020-12-26,-5.5
361,"Asheville, NC",2020-12-27,0.0
362,"Asheville, NC",2020-12-28,3.5
363,"Asheville, NC",2020-12-29,6.0
364,"Asheville, NC",2020-12-30,3.3
365,"Asheville, NC",2020-12-31,10.4
0,"Austin, TX",2020-01-01,12.2
1,"Austin, TX",2020-01-02,12.4
2,"Austin, TX",2020-01-03,13.0
3,"Austin, TX",2020-01-04,12.6
4,"Austin, TX",2020-01-05,14.6
5,"Austin, TX",2020-01-06,14.8
6,"Austin, TX",2020-01-07,12.2
7,"Austin, TX",2020-01-08,11.8
8,"Austin, TX",2020-01-09,20.4
9,"Austin, TX",2020-01-10,21.6
10,"Austin, TX",2020-01-11,10.9
11,"Austin, TX",2020-01-12,8.8
12,"Austin, TX",2020-01-13,13.6
13,"Austin, TX",2020-01-14,18.9
14,"Austin, TX",2020-01-15,22.9
15,"Austin, TX",2020-01-16,16.8
16,"Austin, TX",2020-01-17,12.9
17,"Austin, TX",2020-01-18,16.9
18,"Austin, TX",2020-01-19,9.2
19,"Austin, TX",2020-01-20,7.3
20,"Austin, TX",2020-01-21,10.6
21,"Austin, TX",2020-01-22,11.7
22,"Austin, TX",2020-01-23,13.1
23,"Austin, TX",2020-01-24,11.7
24,"Austin, TX",2020-01-25,12.7
25,"Austin, TX",2020-01-26,17.6
26,"Austin, TX",2020-01-27,13.2
27,"Austin, TX",2020-01-28,14.6
28,"Austin, TX",2020-01-29,11.0
29,"Austin, TX",2020-01-30,8.2
30,"Austin, TX",2020-01-31,10.4
31,"Austin, TX",2020-02-01,12.3
32,"Austin, TX",2020-02-02,15.6
33,"Austin, TX",2020-02-03,17.9
34,"Austin, TX",2020-02-04,18.3
35,"Austin, TX",2020-02-05,4.7
36,"Austin, TX",2020-02-06,5.1
37,"Austin, TX",2020-02-07,12.1
38,"Austin, TX",2020-02-08,13.7
39,"Austin, TX",2020-02-09,19.8
40,"Austin, TX",2020-02-10,14.8
41,"Austin, TX",2020-02-11,7.5
42,"Austin, TX",2020-02-12,8.9
43,"Austin, TX",2020-02-13,7.8
44,"Austin, TX",2020-02-14,7.3
45,"Austin, TX",2020-02-15,11.0
46,"Austin, TX",2020-02-16,16.4
47,"Austin, TX",2020-02-17,20.7
48,"Austin, TX",2020-02-18,17.4
49,"Austin, TX",2020-02-19,9.5
50,"Austin, TX",2020-02-20,8.4
51,"Austin, TX",2020-02-21,7.2
52,"Austin, TX",2020-02-22,11.6
53,"Austin, TX",2020-02-23,16.3
54,"Austin, TX",2020-02-24,17.7
55,"Austin, TX",2020-02-25,13.2
56,"Austin, TX",2020-02-26,8.5
57,"Austin, TX",2020-02-27,8.2
58,"Austin, TX",2020-02-28,13.0
59,"Austin, TX",2020-02-29,15.5
60,"Austin, TX",2020-03-01,18.6
61,"Austin, TX",2020-03-02,21.1
62,"Austin, TX",2020-03-03,21.0
63,"Austin, TX",2020-03-04,17.0
64,"Austin, TX",2020-03-05,15.6
65,"Austin, TX",2020-03-06,15.2
66,"Austin, TX",2020-03-07,11.7
67,"Austin, TX",2020-03-08,16.2
68,"Austin, TX",2020-03-09,18.6
69,"Austin, TX",2020-03-10,20.6
70,"Austin, TX",2020-03-11,22.7
71,"Austin, TX",2020-03-12,23.8
72,"Austin, TX",2020-03-13,23.3
73,"Austin, TX",2020-03-14,24.3
74,"Austin, TX",2020-03-15,16.7
75,"Austin, TX",2020-03-16,18.9
76,"Austin, TX",2020-03-17,22.4
77,"Austin, TX",2020-03-18,23.7
78,"Austin, TX",2020-03-19,23.8
79,"Austin, TX",2020-03-20,15.3
80,"Austin, TX",2020-03-21,10.9
81,"Austin, TX",2020-03-22,15.9
82,"Austin, TX",2020-03-23,22.4
83,"Austin, TX",2020-03-24,24.0
84,"Austin, TX",2020-03-25,22.4
85,"Austin, TX",2020-03-26,24.4
86,"Austin, TX",2020-03-27,25.3
87,"Austin, TX",2020-03-28,21.6
88,"Austin, TX",2020-03-29,18.8
89,"Austin, TX",2020-03-30,19.5
90,"Austin, TX",2020-03-31,18.2
91,"Austin, TX",2020-04-01,17.7
92,"Austin, TX",2020-04-02,18.8
93,"Austin, TX",2020-04-03,17.0
94,"Austin, TX",2020-04-04,9.0
95,"Austin, TX",2020-04-05,14.9
96,"Austin, TX",2020-04-06,20.9
97,"Austin, TX",2020-04-07,25.2
98,"Austin, TX",2020-04-08,27.4
99,"Austin, TX",2020-04-09,24.0
100,"Austin, TX",2020-04-10,19.9
101,"Austin, TX",2020-04-11,20.6
102,"Austin, TX",2020-04-12,24.5
103,"Austin, TX",2020-04-13,12.6
104,"Austin, TX",2020-04-14,12.9
105,"Austin, TX",2020-04-15,13.4
106,"Austin, TX",2020-04-16,17.7
107,"Austin, TX",2020-04-17,17.7
108,"Austin, TX",2020-04-18,14.8
109,"Austin, TX",2020-04-19,22.0
110,"Austin, TX",2020-04-20,22.6
111,"Austin, TX",2020-04-21,24.1
112,"Austin, TX",2020-04-22,23.7
113,"Austin, TX",2020-04-23,23.8
114,"Austin, TX",2020-04-24,25.9
115,"Austin, TX",2020-04-25,21.4
116,"Austin, TX",2020-04-26,21.7
117,"Austin, TX",2020-04-27,23.7
118,"Austin, TX",2020-04-28,27.3
119,"Austin, TX",2020-04-29,24.0
120,"Austin, TX",2020-04-30,21.8
121,"Austin, TX",2020-05-01,23.3
122,"Austin, TX",2020-05-02,25.6
123,"Austin, TX",2020-05-03,27.0
124,"Austin, TX",2020-05-04,27.9
125,"Austin, TX",2020-05-05,24.8
126,"Austin, TX",2020-05-06,23.6
127,"Austin, TX",2020-05-07,22.6
128,"Austin, TX",2020-05-08,24.4
129,"Austin, TX",2020-05-09,20.1
130,"Austin, TX",2020-05-10,20.2
131,"Austin, TX",2020-05-11,22.7
132,"Austin, TX",2020-05-12,20.5
133,"Austin, TX",2020-05-13,23.7
134,"Austin, TX",2020-05-14,26.9
135,"Austin, TX",2020-05-15,26.4
136,"Austin, TX",2020-05-16,22.1
137,"Austin, TX",2020-05-17,24.6
138,"Austin, TX",2020-05-18,26.5
139,"Austin, TX",2020-05-19,28.1
140,"Austin, TX",2020-05-20,28.6
141,"Austin, TX",2020-05-21,27.5
142,"Austin, TX",2020-05-22,28.5
143,"Austin, TX",2020-05-23,28.7
144,"Austin, TX",2020-05-24,26.2
145,"Austin, TX",2020-05-25,22.1
146,"Austin, TX",2020-05-26,23.4
147,"Austin, TX",2020-05-27,23.0
148,"Austin, TX",2020-05-28,24.2
149,"Austin, TX",2020-05-29,25.7
150,"Austin, TX",2020-05-30,25.0
151,"Austin, TX",2020-05-31,25.6
152,"Austin, TX",2020-06-01,25.2
153,"Austin, TX",2020-06-02,26.3
154,"Austin, TX",2020-06-03,27.1
155,"Austin, TX",2020-06-04,28.3
156,"Austin, TX",2020-06-05,28.7
157,"Austin, TX",2020-06-06,29.7
158,"Austin, TX",2020-06-07,29.7
159,"Austin, TX",2020-06-08,30.5
160,"Austin, TX",2020-06-09,30.4
161,"Austin, TX",2020-06-10,27.3
162,"Austin, TX",2020-06-11,26.7
163,"Austin, TX",2020-06-12,26.2
164,"Austin, TX",2020-06-13,27.2
165,"Austin, TX",2020-06-14,27.3
166,"Austin, TX",2020-06-15,27.4
167,"Austin, TX",2020-06-16,28.3
168,"Austin, TX",2020-06-17,27.9
169,"Austin, TX",2020-06-18,28.0
170,"Austin, TX",2020-06-19,28.9
171,"Austin, TX",2020-06-20,27.8
172,"Austin, TX",2020-06-21,29.2
173,"Austin, TX",2020-06-22,29.1
174,"Austin, TX",2020-06-23,27.1
175,"Austin, TX",2020-06-24,25.6
176,"Austin, TX",2020-06-25,27.5
177,"Austin, TX",2020-06-26,25.3
178,"Austin, TX",2020-06-27,28.5
179,"Austin, TX",2020-06-28,27.5
180,"Austin, TX",2020-06-29,28.7
181,"Austin, TX",2020-06-30,29.2
182,"Austin, TX",2020-07-01,29.7
183,"Austin, TX",2020-07-02,30.5
184,"Austin, TX",2020-07-03,29.8
185,"Austin, TX",2020-07-04,30.1
186,"Austin, TX",2020-07-05,30.6
187,"Austin, TX",2020-07-06,30.1
188,"Austin, TX",2020-07-07,30.4
189,"Austin, TX",2020-07-08,30.7
190,"Austin, TX",2020-07-09,31.3
191,"Austin, TX",2020-07-10,31.5
192,"Austin, TX",2020-07-11,31.7
193,"Austin, TX",2020-07-12,31.8
194,"Austin, TX",2020-07-13,33.1
195,"Austin, TX",2020-07-14,31.9
196,"Austin, TX",2020-07-15,31.3
197,"Austin, TX",2020-07-16,31.3
198,"Austin, TX",2020-07-17,30.7
199,"Austin, TX",2020-07-18,30.0
200,"Austin, TX",2020-07-19,30.2
201,"Austin, TX",2020-07-20,30.5
202,"Austin, TX",2020-07-21,29.5
203,"Austin, TX",2020-07-22,30.6
204,"Austin, TX",2020-07-23,31.3
205,"Austin, TX",2020-07-24,31.5
206,"Austin, TX",2020-07-25,27.6
207,"Austin, TX",2020-07-26,27.3
208,"Austin, TX",2020-07-27,29.2
209,"Austin, TX",2020-07-28,29.1
210,"Austin, TX",2020-07-29,28.2
211,"Austin, TX",2020-07-30,30.4
212,"Austin, TX",2020-07-31,28.0
213,"Austin, TX",2020-08-01,29.4
214,"Austin, TX",2020-08-02,29.0
215,"Austin, TX",2020-08-03,28.7
216,"Austin, TX",2020-08-04,30.6
217,"Austin, TX",2020-08-05,31.3
