id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6283,Casa Al Sur,13310,Pamela,,Balvanera,-34.60367,-58.40875,Entire home/apt,4473,3,1,2011-01-31,0.01,1,365
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,5368,2,26,2019-11-28,0.25,1,327
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59761,-58.39468,Private room,2415,1,20,2017-12-11,0.15,1,365
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2684,1,1,2018-12-18,0.04,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2684,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2684,1,1,2019-11-27,0.07,7,365
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59327,-58.42953,Private room,3578,1,0,,,7,365
13100,Master Room in Palermo Viejo B&B w  pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,4473,1,1,2017-11-23,0.03,7,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58777,-58.41106,Entire home/apt,3047,5,90,2020-03-01,0.86,2,363
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,Monserrat,-34.60913,-58.37372,Entire home/apt,10735,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53724,-58.4658,Private room,2686,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.6029,-58.4114,Private room,3262,3,6,2014-06-01,0.05,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61439,-58.37611,Entire home/apt,3403,2,46,2019-11-30,0.38,7,347
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,2684,2,22,2019-04-16,0.18,7,360
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.60175,-58.3786,Entire home/apt,3042,3,7,2018-08-01,0.06,2,176
18007,apartament in San Telmo,69404,Marcelo,,Monserrat,-34.6154,-58.3778,Entire home/apt,31311,1,0,,,1,365
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,,San Telmo,-34.61986,-58.36947,Entire home/apt,6089,7,144,2019-01-13,1.09,2,358
19642,SKY LOFT LARGE,74406,Mathilde,,Palermo,-34.58822,-58.43442,Entire home/apt,4454,15,0,,,10,365
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,,Palermo,-34.58183,-58.44143,Entire home/apt,7988,2,227,2021-02-10,1.73,5,139
