id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,100,1,423,2021-02-07,3.71,3,128
543140,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,25,3,99,2020-12-22,0.95,3,297
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,80,2,226,2021-02-14,2.17,1,363
681145,2 bed/Safe/Quiet/Clean/Ample Parking/OSU/Laundry,3468444,Vicki,,Near North/University,40.01898,-83.00067,Entire home/apt,115,2,132,2020-08-04,1.29,2,0
923248,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,35,1,223,2020-11-15,2.29,10,283
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,67,1,47,2021-01-22,0.52,10,282
1217678,Comfortable rooms in Clintonville 1,5707733,Russell,,Clintonville,40.03828,-83.01838,Private room,75,1,166,2020-10-18,1.78,2,355
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,213,7,136,2020-09-30,1.49,1,288
1336145,Comfortable rooms in Clintonville 2,5707733,Russell,,Clintonville,40.03689,-83.0183,Private room,75,1,131,2020-07-25,1.44,2,355
1520102,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,38,1,45,2020-09-27,0.53,10,267
1763836,Charming 1BR Clintonville Apt (1-week min. rental),7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,75,7,81,2020-12-31,0.91,3,346
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,2,31,2020-12-23,0.36,3,332
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,2,23,2021-01-23,0.27,3,327
